Shoulder Radio, Flashlight, Whistle, High Wave, Examine Eyes, Take BP, Walking, Location Sent, Requesting Backup, Vitals Sent, Shoulder Radio Start, Shoulder Radio End, Shoulder Radio Delta, Flashlight Start, Flashlight End, Flashlight Delta, Whistle Start, Whistle End, Whistle Delta, High Wave Start, High Wave End, High Wave Delta, Examine Eyes Start, Examine Eyes End, Examine Eyes Delta, Take BP Start, Take BP End, Take BP Delta, Distance Magnitude, App Usage Count, User, Anomaly
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37758227,   37761891, 3.664, 37762449,   37766578, 4.129, 37765562,   37769723, 4.161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.45883625229, 3,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37776542,  37780629, 4.087, 37780710,   37785442, 4.732, 37784380,   37788035, 3.655, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.04436266595, 4,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37797451,   37800593, 3.142, 37801118,   37805263, 4.145, 37804260,   37807360, 3.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.22608615058, 0,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37818349,  37822376, 4.027, 37823061,   37826707, 3.646, 37825679,   37830365, 4.686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.50993123264, 0,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 37839264,   37843444, 4.18, 37843450,   37847632, 4.182, 37846608,   37850769, 4.161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.08807777, 2,     100103, Normal
0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 37871146,   37873739, 2.593, 37873248,   37876883, 3.635, 37886843,   37889439, 2.596, 37903573,   37940670, 37.097, 2.1936389463, 0,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39311292,   39314340, 3.048, 39314881,   39318967, 4.086, 39319496,   39322037, 2.541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.727268134756, 0,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39330241,   39333800, 3.559, 39335366,   39339444, 4.078, 39338428,   39340963, 2.535, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0831476180669, 2,     100103, Normal
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 39347650,   39351719, 4.069, 39355852,   39357866, 2.014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.311963418747, 0,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39436733,  39439044, 2.311, 39440369,   39444393, 4.024, 39443533,   39445936, 2.403, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.49574292279, 2,     100103, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.266449121677, 2,     100103, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.93544339879, 4,     100103, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.65275999912, 3,     100103, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.13723638542, 2,     100103, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.61372707951, 4,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39573864,   39574548, 0.684, 39574553,   39578040, 3.487, 39577643,   39580645, 3.002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.50315435498, 4,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39592385,  39595356, 2.971, 39596472,   39600073, 3.601, 39599044,   39602093, 3.049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31540403136, 2,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39616996,   39617968, 0.972, 39618498,   39622095, 3.597, 39621058,   39623606, 2.548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.79987401381, 2,     100103, Normal
1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 39634874,   39635387, 0.513, 39635915,   39639467, 3.552, 39639488,   39642050, 2.562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.266018635746, 0,     100103, Normal
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.145658964006, 0,     100103, Normal
